name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
ajithd	60.296391430 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ajvdwalt86	79.620103940 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akashpey	830.376000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akbars717	396.217932000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akcengiz	44.575622530 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akerr011	219.359277460 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akhilpop	112.184819252 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akhvoshch	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
akiides03	155.024238085 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akinesia	1820.233333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akireev	598.192644930 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
akqlwm	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alaahassan1400	30.357873750 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alaibiogan	20.037674800 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alan09	151.737210150 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alatminh	443.528888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
albaspot	57.498475789 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alberto10012003	174.141333334 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
albunet13	606.222222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ale777	9.961346900 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aleks1987	209.473333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aleks89	101.701711930 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aleksb	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aleksejspiscevs	130.913696450 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alessio20	1319.944444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
